Supplier,OnTimeDelivery,DefectRate,CostVariance,ComplianceScore
Supplier_18273,91,16,0,97
Supplier_18274,69,14,13,99
Supplier_18275,89,5,11,66
Supplier_18276,94,0,21,96
Supplier_18277,82,7,17,39
Supplier_18278,84,7,11,69
Supplier_18279,82,13,14,55
Supplier_1828,85,14,12,72
Supplier_18280,97,7,10,88
Supplier_18281,55,10,18,88
Supplier_18282,92,17,-3,89
Supplier_18283,86,17,16,80
Supplier_18284,68,6,18,68
Supplier_18285,84,16,12,100
Supplier_18286,71,5,3,82
Supplier_18287,69,7,8,87
Supplier_18288,80,5,1,63
Supplier_18289,82,4,6,49
Supplier_1829,64,12,16,73
Supplier_18290,84,0,6,72
Supplier_18291,71,6,11,100
Supplier_18292,63,11,0,32
Supplier_18293,68,10,13,74
Supplier_18294,65,10,19,98
Supplier_18295,63,14,9,85
Supplier_18296,82,7,14,77
Supplier_18297,66,13,3,70
Supplier_18298,88,12,0,54
Supplier_18299,86,5,12,78
Supplier_183,77,7,17,89
Supplier_1830,77,0,22,67
Supplier_18300,100,0,6,68
Supplier_18301,85,9,1,62
Supplier_18302,76,5,12,84
Supplier_18303,76,4,9,96
Supplier_18304,73,0,5,66
Supplier_18305,77,2,8,57
Supplier_18306,97,9,25,66
Supplier_18307,95,10,18,78
Supplier_18308,77,17,5,67
Supplier_18309,68,13,17,72
Supplier_1831,87,15,16,51
Supplier_18310,78,0,24,89
Supplier_18311,81,11,11,74
Supplier_18312,65,15,8,58
Supplier_18313,100,14,8,100
Supplier_18314,74,13,11,79
Supplier_18315,92,0,4,50
Supplier_18316,92,2,25,99
Supplier_18317,88,0,10,61
Supplier_18318,93,6,12,81
Supplier_18319,84,14,17,67
Supplier_1832,66,7,17,50
Supplier_18320,91,8,7,89
Supplier_18321,65,6,17,94
Supplier_18322,96,16,3,85
Supplier_18323,88,7,14,100
Supplier_18324,60,8,23,56
Supplier_18325,77,14,7,100
Supplier_18326,74,3,7,100
Supplier_18327,61,13,13,83
Supplier_18328,83,8,2,82
Supplier_18329,91,4,-2,79
Supplier_1833,100,16,17,100
Supplier_18330,78,0,11,78
Supplier_18331,69,8,2,98
Supplier_18332,66,10,-4,70
Supplier_18333,62,5,16,59
Supplier_18334,60,12,22,68
Supplier_18335,62,16,8,63
Supplier_18336,85,7,4,90
Supplier_18337,64,5,9,54
Supplier_18338,93,7,-1,48
Supplier_18339,95,2,14,76
Supplier_1834,74,8,10,86
Supplier_18340,96,2,20,74
Supplier_18341,83,14,-1,52
Supplier_18342,79,15,-2,95
Supplier_18343,85,8,18,100
Supplier_18344,79,2,7,91
Supplier_18345,72,4,10,58
Supplier_18346,98,10,17,43
Supplier_18347,93,17,13,81
Supplier_18348,86,14,6,86
Supplier_18349,66,9,26,73
Supplier_1835,88,0,1,61
Supplier_18350,74,2,18,100
Supplier_18351,83,14,23,71
Supplier_18352,64,12,9,85
Supplier_18353,100,13,14,81
Supplier_18354,77,18,11,99
Supplier_18355,85,1,14,84
Supplier_18356,100,2,14,99
Supplier_18357,90,3,21,56
Supplier_18358,80,8,5,91
Supplier_18359,87,14,16,69
Supplier_1836,96,3,26,99
Supplier_18360,100,6,-1,67
Supplier_18361,69,7,18,76
Supplier_18362,91,16,11,81
Supplier_18363,91,15,13,71
Supplier_18364,76,5,17,64
Supplier_18365,77,13,9,100
Supplier_18366,69,1,16,98
Supplier_18367,64,13,2,85
Supplier_18368,82,12,9,75
Supplier_18369,84,5,9,66
Supplier_1837,79,2,12,47
Supplier_18370,79,1,7,60
Supplier_18371,64,10,15,100
Supplier_18372,60,13,-6,50
Supplier_18373,68,11,10,32
Supplier_18374,57,14,20,83
Supplier_18375,67,11,14,77
Supplier_18376,79,2,11,86
Supplier_18377,60,11,3,100
Supplier_18378,84,11,8,54
Supplier_18379,87,5,13,77
Supplier_1838,84,12,11,68
Supplier_18380,100,4,17,55
Supplier_18381,83,19,4,80
Supplier_18382,79,6,20,64
Supplier_18383,83,2,3,100
Supplier_18384,71,0,4,89
Supplier_18385,80,0,13,44
Supplier_18386,91,12,17,43
Supplier_18387,98,9,25,91
Supplier_18388,78,15,8,89
Supplier_18389,61,9,18,86
Supplier_1839,87,14,17,66
Supplier_18390,78,0,24,100
Supplier_18391,85,10,15,81
Supplier_18392,70,7,3,72
Supplier_18393,92,16,3,100
Supplier_18394,73,8,7,99
Supplier_18395,87,5,14,73
Supplier_18396,98,7,21,72
Supplier_18397,87,0,14,45
Supplier_18398,86,10,5,72
Supplier_18399,84,12,17,53
Supplier_184,76,5,13,95
Supplier_1840,95,10,13,88
Supplier_18400,100,3,11,100
Supplier_18401,58,10,20,62
Supplier_18402,85,15,6,81
Supplier_18403,83,15,11,86
Supplier_18404,64,3,28,69
Supplier_18405,80,10,12,97
Supplier_18406,60,5,11,100
Supplier_18407,68,11,9,39
Supplier_18408,82,7,6,69
Supplier_18409,80,5,5,47
Supplier_1841,63,7,13,84
Supplier_18410,77,0,5,76
Supplier_18411,73,6,5,100
Supplier_18412,65,12,3,62
Supplier_18413,69,5,14,47
Supplier_18414,59,10,19,66
Supplier_18415,61,11,9,70
Supplier_18416,83,8,8,87
Supplier_18417,74,8,5,44
Supplier_18418,89,8,1,68
Supplier_18419,97,5,7,71
Supplier_1842,84,15,2,75
Supplier_18420,95,0,12,84
Supplier_18421,80,13,4,51
Supplier_18422,79,3,10,90
Supplier_18423,87,6,5,98
Supplier_18424,73,0,7,85
Supplier_18425,79,0,10,45
Supplier_18426,96,7,18,81
Supplier_18427,98,13,18,90
Supplier_18428,76,20,12,84
Supplier_18429,63,11,14,76
Supplier_1843,86,10,11,79
Supplier_18430,76,6,15,80
Supplier_18431,84,12,16,62
Supplier_18433,100,15,4,86
Supplier_18434,70,12,14,100
Supplier_18435,88,7,12,45
Supplier_18436,92,1,25,88
Supplier_18437,85,4,17,74
Supplier_18438,82,11,21,53
Supplier_18439,88,11,14,78
Supplier_1844,64,9,17,66
Supplier_18440,100,4,4,96
Supplier_18441,54,0,23,62
Supplier_18442,94,18,7,74
Supplier_18443,86,10,13,77
Supplier_18444,66,10,17,82
Supplier_18445,73,16,12,88
Supplier_18446,77,12,8,82
Supplier_18447,67,13,7,92
Supplier_18448,83,7,-1,53
Supplier_18449,89,4,3,55
Supplier_1845,78,15,16,91
Supplier_18450,74,0,4,100
Supplier_18451,67,5,5,84
Supplier_18452,66,11,1,51
Supplier_18453,62,8,4,39
Supplier_18454,70,10,26,68
Supplier_18455,62,10,10,65
Supplier_18456,89,10,9,77
Supplier_18457,75,8,1,57
Supplier_18458,83,7,3,69
Supplier_18459,86,7,7,74
Supplier_1846,68,3,2,99
Supplier_18460,100,4,17,63
Supplier_18461,87,17,-1,77
Supplier_18462,79,5,6,68
Supplier_18463,79,4,12,97
Supplier_18464,73,5,-5,93
Supplier_18465,85,1,16,52
Supplier_18466,95,10,16,68
Supplier_18467,98,18,12,54
Supplier_18468,77,13,12,76
Supplier_18469,67,10,21,48
Supplier_1847,68,10,6,76
Supplier_18470,78,0,18,72
Supplier_18471,80,12,18,45
Supplier_18472,61,9,5,54
Supplier_18473,90,11,13,94
Supplier_18474,70,10,2,74
Supplier_18475,93,6,14,50
Supplier_18476,100,3,23,90
Supplier_18477,87,0,19,58
Supplier_18478,86,10,16,68
Supplier_18479,86,11,22,41
Supplier_1848,78,0,7,73
Supplier_18480,99,7,7,93
Supplier_18481,65,5,19,60
Supplier_18482,99,19,7,69
Supplier_18483,88,15,16,78
Supplier_18484,69,1,21,56
Supplier_18485,80,8,6,78
Supplier_18486,75,7,10,100
Supplier_18487,55,6,4,91
Supplier_18488,85,5,3,69
Supplier_18489,85,2,-7,39
Supplier_1849,90,7,3,46
Supplier_18490,75,1,15,91
Supplier_18491,63,6,7,92
Supplier_18492,63,16,6,66
Supplier_18493,65,5,11,58
Supplier_18494,59,12,21,78
Supplier_18495,57,13,11,80
Supplier_18496,89,2,14,82
Supplier_18497,70,11,5,82
Supplier_18498,87,8,3,43
Supplier_18499,91,5,14,71
Supplier_185,78,4,14,54
Supplier_1850,79,0,9,82
Supplier_18500,97,0,13,71
Supplier_18501,83,13,-1,74
Supplier_18502,76,8,7,71
Supplier_18503,75,7,15,100
Supplier_18504,81,0,2,88
Supplier_18505,84,3,19,59
Supplier_18506,90,10,24,70
Supplier_18507,99,10,19,83
Supplier_18508,79,10,7,74
Supplier_18509,63,14,19,64
Supplier_1851,66,10,11,100
Supplier_18510,75,0,16,100
Supplier_18511,86,11,19,61
Supplier_18512,68,12,12,66
Supplier_18513,100,13,12,80
Supplier_18514,73,15,17,93
Supplier_18515,89,1,12,73
Supplier_18516,99,0,27,68
Supplier_18517,86,3,8,59
Supplier_18518,84,9,11,61
Supplier_18519,87,14,13,55
Supplier_1852,70,15,7,54
Supplier_18520,97,8,16,82
Supplier_18521,62,3,16,69
Supplier_18522,95,12,10,75
Supplier_18523,84,18,19,81
Supplier_18524,62,4,18,65
Supplier_18525,79,6,11,78
Supplier_18526,67,4,9,68
Supplier_18527,57,13,-3,80
Supplier_18528,81,0,1,65
Supplier_18529,79,2,-2,45
Supplier_1853,60,8,14,51
Supplier_18530,72,4,0,55
Supplier_18531,72,4,11,83
Supplier_18532,62,14,11,47
Supplier_18533,70,6,5,49
Supplier_18534,59,11,21,61
Supplier_18535,63,14,8,74
Supplier_18536,89,1,7,89
Supplier_18537,62,13,5,65
Supplier_18538,90,7,1,44
Supplier_18539,88,3,19,70
Supplier_1854,68,11,16,54
Supplier_18540,91,0,20,59
Supplier_18541,83,15,7,91
Supplier_18542,82,3,12,82
Supplier_18543,79,11,20,100
Supplier_18544,68,0,3,79
Supplier_18545,80,4,12,67
Supplier_18546,100,6,18,59
Supplier_18547,96,13,19,92
Supplier_18548,85,9,12,77
Supplier_18549,61,14,20,53
Supplier_1855,67,15,18,66
Supplier_18550,78,0,16,85
Supplier_18551,87,8,19,71
Supplier_18552,65,14,10,48
Supplier_18553,97,5,9,100
Supplier_18554,76,10,9,100
Supplier_18555,98,9,12,61
Supplier_18556,96,0,17,73
Supplier_18557,82,0,18,68
Supplier_18558,83,11,12,83
Supplier_18559,97,11,19,53
Supplier_1856,84,5,6,87
Supplier_18560,97,11,12,63
Supplier_18561,62,8,15,68
Supplier_18562,87,16,6,85
Supplier_18563,81,11,12,85
Supplier_18564,65,7,15,54
Supplier_18565,80,11,5,87
Supplier_18566,70,6,10,92
Supplier_18567,63,12,4,73
Supplier_18568,76,4,6,69
Supplier_18569,87,2,-3,68
Supplier_1857,73,13,11,40
Supplier_18570,79,3,5,91
Supplier_18571,67,15,5,98
Supplier_18572,70,10,7,36
Supplier_18573,62,8,12,63
Supplier_18574,65,12,12,68
Supplier_18575,66,13,4,100
Supplier_18576,87,6,8,88
Supplier_18577,66,8,-4,63
Supplier_18578,80,10,-1,62
Supplier_18579,91,3,10,65
Supplier_1858,85,9,8,40
Supplier_18580,96,3,15,58
Supplier_18581,85,15,-2,93
Supplier_18582,83,0,20,82
Supplier_18583,78,7,8,92
Supplier_18584,73,2,4,84
Supplier_18585,84,5,14,48
Supplier_18586,92,9,16,46
Supplier_18587,100,13,10,83
Supplier_18588,76,18,6,82
Supplier_18589,59,10,22,71
Supplier_1859,87,7,17,67
Supplier_18590,78,0,23,91
Supplier_18591,93,13,21,44
Supplier_18592,57,16,16,54
Supplier_18593,97,13,3,94
Supplier_18594,75,9,18,87
Supplier_18595,90,7,19,66
Supplier_18596,97,3,27,73
Supplier_18597,81,0,9,66
Supplier_18598,82,9,11,65
Supplier_18599,86,11,23,68
Supplier_186,99,10,23,48
Supplier_1860,98,2,18,67
Supplier_18600,91,8,4,95
Supplier_18601,64,0,22,85
Supplier_18602,90,13,3,86
Supplier_18603,86,14,12,100
Supplier_18604,65,7,22,70
Supplier_18605,70,11,-4,62
Supplier_18606,71,9,-1,91
Supplier_18607,72,11,3,59
Supplier_18608,77,4,5,69
Supplier_18609,91,3,-4,58
Supplier_1861,82,14,10,67
Supplier_18610,77,3,16,67
Supplier_18611,67,9,4,83
Supplier_18612,58,12,1,61
Supplier_18613,66,10,15,72
Supplier_18614,70,8,15,41
Supplier_18615,61,16,11,69
Supplier_18616,87,1,8,85
Supplier_18617,71,7,8,54
Supplier_18618,87,7,3,62
Supplier_18619,80,7,1,75
Supplier_1862,83,7,6,87
Supplier_18620,97,0,14,84
Supplier_18621,89,13,6,81
Supplier_18622,80,3,8,33
Supplier_18623,70,5,8,100
Supplier_18624,76,0,4,63
Supplier_18625,78,4,23,56
Supplier_18626,89,10,14,70
Supplier_18627,91,12,24,67
Supplier_18628,83,11,12,76
Supplier_18629,61,11,22,51
Supplier_1863,84,9,5,100
Supplier_18630,73,6,13,93
Supplier_18631,84,12,26,50
Supplier_18632,62,9,17,51
Supplier_18633,98,10,9,88
Supplier_18634,72,8,15,100
Supplier_18635,85,3,18,70
Supplier_18636,93,5,14,84
Supplier_18637,86,0,15,62
Supplier_18638,84,9,15,73
Supplier_18639,87,11,22,65
Supplier_1864,67,0,19,81
Supplier_18640,100,9,6,86
Supplier_18641,67,6,22,87
Supplier_18642,95,21,4,67
Supplier_18643,87,14,13,100
Supplier_18644,65,11,10,81
Supplier_18645,75,10,-1,100
Supplier_18646,75,5,13,100
Supplier_18647,63,5,1,82
Supplier_18648,82,5,6,56
Supplier_18649,87,3,4,46
Supplier_1865,84,3,19,65
Supplier_18650,77,2,11,89
Supplier_18651,81,8,20,78
Supplier_18652,60,17,5,50
Supplier_18653,62,5,11,64
Supplier_18654,67,12,27,66
Supplier_18655,61,17,12,93
Supplier_18656,86,10,6,91
Supplier_18657,63,11,-4,43
Supplier_18658,88,10,-5,48
Supplier_18659,88,5,12,49
Supplier_1866,89,6,14,50
Supplier_18660,96,6,14,67
Supplier_18661,86,14,1,78
Supplier_18662,73,7,13,83
Supplier_18663,78,4,6,100
Supplier_18664,73,0,4,70
Supplier_18665,74,4,10,33
Supplier_18666,89,6,19,43
Supplier_18667,97,15,12,86
Supplier_18668,82,14,16,67
Supplier_18669,69,10,22,83
Supplier_1867,100,13,22,65
Supplier_18670,75,0,14,94
Supplier_18671,87,18,19,53
Supplier_18672,68,14,20,80
Supplier_18673,100,10,8,94
Supplier_18674,72,18,11,100
Supplier_18675,83,4,11,76
Supplier_18676,95,0,26,78
Supplier_18677,80,0,11,49
Supplier_18678,81,13,12,82
Supplier_18679,86,12,18,64
Supplier_1868,84,16,15,75
Supplier_18680,95,6,5,100
Supplier_18681,65,7,13,58
Supplier_18682,95,14,5,71
Supplier_18683,87,18,14,75
Supplier_18684,66,5,16,85
Supplier_18685,77,10,12,95
Supplier_18686,76,5,5,100
Supplier_18687,62,10,7,94
Supplier_18688,81,6,10,80
Supplier_18689,85,3,2,63
Supplier_1869,60,10,24,54
Supplier_18690,76,0,10,67
Supplier_18691,66,9,10,100
Supplier_18692,59,11,-3,49
Supplier_18693,68,8,11,75
Supplier_18694,60,6,23,70
Supplier_18695,62,13,13,64
Supplier_18696,91,5,13,81
Supplier_18697,66,11,1,46
Supplier_18698,89,11,-1,70
Supplier_18699,84,4,11,68
Supplier_187,100,16,19,99
Supplier_1870,75,4,18,81
Supplier_18700,93,7,8,58
Supplier_18701,77,16,-3,80
Supplier_18702,85,12,12,86
Supplier_18703,76,7,3,100
Supplier_18704,77,0,6,78
Supplier_18705,75,0,12,58
Supplier_18706,100,10,14,53
Supplier_18707,100,16,17,86
Supplier_18708,72,11,16,86
Supplier_18709,60,12,21,54
Supplier_1871,80,15,14,79
Supplier_18710,80,0,16,79
Supplier_18711,86,13,19,51
Supplier_18712,68,14,10,52
Supplier_18713,96,9,11,100
Supplier_18714,81,7,10,98
Supplier_18715,90,0,8,72
Supplier_18716,90,3,24,84
Supplier_18717,83,2,12,38
Supplier_18718,79,10,9,70
Supplier_18719,93,11,14,40
Supplier_1872,64,10,11,58
Supplier_18720,93,6,4,74
Supplier_18721,66,3,20,83
Supplier_18722,90,12,2,76
Supplier_18723,86,11,7,85
Supplier_18724,56,3,19,81
Supplier_18725,79,13,0,100
Supplier_18726,77,10,8,89
Supplier_18727,59,13,14,58
Supplier_18728,75,4,8,59
Supplier_18729,89,4,13,60
Supplier_1873,97,12,8,75
Supplier_18730,70,2,8,62
Supplier_18731,74,8,20,96
Supplier_18732,59,10,9,66
Supplier_18733,61,7,15,56
Supplier_18734,65,12,19,84
Supplier_18735,59,9,5,74
Supplier_18736,84,5,8,85
Supplier_18737,68,9,2,65
Supplier_18738,76,11,-1,77
Supplier_18739,93,2,8,81
Supplier_1874,76,14,12,100
Supplier_18740,97,6,10,78
Supplier_18741,78,10,-1,78
Supplier_18742,76,12,13,84
Supplier_18743,85,4,14,81
Supplier_18744,76,3,13,88
Supplier_18745,85,0,13,48
Supplier_18746,93,7,19,30
Supplier_18747,99,11,22,72
Supplier_18748,81,14,10,67
Supplier_18749,67,9,16,70
Supplier_1875,95,5,13,71
Supplier_18750,82,7,13,79
Supplier_18751,81,14,11,63
Supplier_18752,65,11,8,38
Supplier_18753,96,17,14,72
Supplier_18754,73,17,11,88
Supplier_18755,93,7,19,69
Supplier_18756,88,6,19,73
Supplier_18757,88,5,13,41
Supplier_18758,79,12,8,85
Supplier_18759,86,17,26,67
Supplier_1876,100,0,18,76
Supplier_18760,100,4,12,57
Supplier_18761,65,9,22,69
Supplier_18762,93,15,5,73
Supplier_18763,83,15,21,91
Supplier_18764,60,1,11,75
Supplier_18765,81,10,12,90
Supplier_18766,70,9,3,71
Supplier_18767,61,14,3,47
Supplier_18768,85,7,9,53
Supplier_18769,82,0,5,47
Supplier_1877,82,0,13,42
Supplier_18770,78,2,11,100
Supplier_18771,69,8,10,95
Supplier_18772,63,15,9,56
Supplier_18773,63,6,15,35
Supplier_18774,62,9,23,69
Supplier_18775,59,10,7,68
Supplier_18776,89,0,10,100
Supplier_18777,64,9,-2,89
Supplier_18778,90,10,8,66
Supplier_18779,85,0,7,71
Supplier_1878,83,8,7,57
Supplier_18780,93,0,15,100
Supplier_18781,82,21,3,81
Supplier_18782,78,5,2,66
Supplier_18783,85,9,13,100
Supplier_18784,73,1,10,87
Supplier_18785,78,3,16,35
Supplier_18786,100,12,13,47
Supplier_18787,100,7,13,82
Supplier_18788,86,17,7,70
Supplier_18789,69,9,19,93
Supplier_1879,80,19,14,65
Supplier_18790,73,3,18,78
Supplier_18791,88,12,14,76
Supplier_18792,71,7,14,57
Supplier_18793,100,18,6,100
Supplier_18794,77,13,19,67
Supplier_18795,94,4,14,50
Supplier_18796,94,8,16,100
Supplier_18797,81,0,17,48
Supplier_18798,83,7,9,57
Supplier_18799,80,17,19,34
Supplier_188,79,15,15,82
Supplier_1880,93,10,14,88
Supplier_18800,100,10,9,69
Supplier_18801,63,6,12,74
Supplier_18802,97,13,2,100
Supplier_18803,83,15,15,88
Supplier_18804,68,15,24,66
Supplier_18805,75,15,11,86
Supplier_18806,67,8,2,81
Supplier_18807,70,20,-3,89
Supplier_18808,85,8,2,81
Supplier_18809,87,6,5,64
Supplier_1881,68,12,26,81
Supplier_18810,77,0,14,62
Supplier_18811,71,7,12,100
Supplier_18812,64,10,9,45
Supplier_18813,62,6,8,66
Supplier_18814,62,9,23,85
Supplier_18815,71,12,6,67
Supplier_18816,98,6,13,100
Supplier_18817,73,8,3,67
Supplier_18818,88,13,2,45
Supplier_18819,85,3,10,90
Supplier_1882,98,15,2,94
Supplier_18820,94,0,24,85
Supplier_18821,80,16,9,84
Supplier_18822,78,7,13,80
Supplier_18823,90,3,9,97
Supplier_18824,81,0,4,99
Supplier_18825,82,1,8,60
Supplier_18826,92,13,24,68
Supplier_18827,100,15,16,69
Supplier_18828,78,17,14,68
Supplier_18829,55,11,18,81
Supplier_1883,83,7,15,78
Supplier_18830,78,2,19,88
Supplier_18831,81,13,7,58
Supplier_18832,62,12,17,62
Supplier_18833,97,10,9,79
Supplier_18834,71,9,22,93
Supplier_18835,90,2,11,45
Supplier_18836,95,9,12,75
Supplier_18837,76,2,24,54
Supplier_18838,90,7,11,79
Supplier_18839,83,10,21,54
Supplier_1884,62,14,18,71
Supplier_18840,92,9,6,73
Supplier_18841,63,6,20,90
Supplier_18842,92,15,8,66
Supplier_18843,94,15,17,69
Supplier_18844,65,4,22,62
Supplier_18845,79,12,14,100
Supplier_18846,73,6,3,67
Supplier_18847,64,13,7,60
Supplier_18848,82,8,12,70
Supplier_18849,78,0,0,55
Supplier_1885,77,9,14,89
Supplier_18850,76,0,7,67
Supplier_18851,74,11,10,91
Supplier_18852,79,18,-1,89
Supplier_18853,60,3,6,40
Supplier_18854,66,11,24,66
Supplier_18855,61,14,10,94
Supplier_18856,95,7,13,100
Supplier_18857,62,7,0,42
Supplier_18858,88,7,6,57
Supplier_18859,80,0,4,85
Supplier_1886,73,2,8,97
Supplier_18860,96,0,11,41
Supplier_18861,83,12,3,90
Supplier_18862,84,1,4,93
Supplier_18863,77,7,7,100
Supplier_18864,77,0,1,83
Supplier_18865,79,4,16,63
Supplier_18866,97,10,17,71
Supplier_18867,100,16,18,81
Supplier_18868,74,14,18,73
Supplier_18869,67,12,18,44
Supplier_1887,60,13,6,76
Supplier_18870,75,0,16,92
Supplier_18871,88,14,17,45
Supplier_18872,66,14,15,48
Supplier_18873,97,15,14,90
Supplier_18874,71,7,13,100
Supplier_18875,93,10,10,75
Supplier_18876,100,1,19,78
Supplier_18877,82,0,9,74
Supplier_18878,79,13,12,75
Supplier_18879,90,14,24,79
Supplier_1888,83,9,-10,66
Supplier_18880,90,6,2,90
Supplier_18881,59,7,23,77
Supplier_18882,88,12,1,79
Supplier_18883,86,9,8,76
Supplier_18884,59,5,24,73
Supplier_18885,69,17,15,87
Supplier_18886,67,4,7,100
Supplier_18887,66,10,3,57
Supplier_18888,76,5,1,63
Supplier_18889,85,6,2,58
Supplier_1889,84,8,0,55
Supplier_18890,85,2,6,72
Supplier_18891,69,5,10,99
Supplier_18892,64,17,7,67
Supplier_18893,61,6,16,41
Supplier_18894,73,14,22,70
Supplier_18895,61,9,14,81
Supplier_18896,86,6,17,57
Supplier_18897,72,12,2,72
Supplier_18898,85,8,1,61
Supplier_18899,86,6,12,81
Supplier_189,61,12,28,78
Supplier_1890,77,2,19,84
Supplier_18900,96,0,21,66
Supplier_18901,82,11,1,64
Supplier_18902,81,9,16,80
Supplier_18903,83,2,1,100
Supplier_18904,71,3,-1,90
Supplier_18905,76,0,11,70
Supplier_18906,94,11,18,66
Supplier_18907,92,9,22,88
Supplier_18908,73,14,13,77
Supplier_18909,65,13,23,83
Supplier_1891,71,3,8,100
Supplier_18910,81,6,22,88
Supplier_18911,87,9,21,50
Supplier_18912,55,7,13,46
Supplier_18913,97,11,6,91
Supplier_18914,69,13,10,100
Supplier_18915,91,9,17,59
Supplier_18916,93,0,31,100
Supplier_18917,86,4,15,54
Supplier_18918,84,8,8,83
Supplier_18919,79,15,16,56
Supplier_1892,63,14,4,76
Supplier_18920,92,6,6,82
Supplier_18921,64,2,14,57
Supplier_18922,92,19,6,91
Supplier_18923,82,13,13,91
Supplier_18924,58,5,19,89
Supplier_18925,77,13,6,95
Supplier_18926,66,6,5,98
Supplier_18927,56,17,12,77
Supplier_18928,79,5,3,74
Supplier_18929,84,4,-2,46
Supplier_1893,63,10,4,48
Supplier_18930,73,4,18,52
Supplier_18931,66,8,6,69
Supplier_18932,63,15,3,45
Supplier_18933,62,7,13,50
Supplier_18934,64,14,17,63
Supplier_18935,61,15,15,89
Supplier_18936,88,3,9,77
Supplier_18937,71,7,9,48
Supplier_18938,89,7,-4,40
Supplier_18939,91,5,15,92
Supplier_1894,64,12,10,86
Supplier_18940,100,5,22,89
Supplier_18941,84,9,8,77
Supplier_18942,78,12,9,81
Supplier_18943,79,9,8,91
Supplier_18944,70,0,12,93
Supplier_18945,79,1,8,69
Supplier_18946,99,6,9,33
Supplier_18947,95,17,23,77
Supplier_18948,79,17,8,78
Supplier_18949,61,11,16,78
Supplier_1895,63,12,8,76
Supplier_18950,78,1,17,87
Supplier_18951,82,13,17,42
Supplier_18952,62,11,14,60
Supplier_18953,95,12,8,100
Supplier_18954,75,11,19,94
Supplier_18955,90,5,9,68
Supplier_18956,93,0,14,84
Supplier_18957,85,0,18,61
Supplier_18958,82,8,12,90
Supplier_18959,92,14,17,52
Supplier_1896,86,8,10,85
Supplier_18960,92,11,9,98
Supplier_18961,63,7,14,77
Supplier_18962,86,16,5,97
Supplier_18963,87,11,15,85
Supplier_18964,57,6,23,79
Supplier_18965,80,13,1,92
Supplier_18966,75,6,-2,69
Supplier_18967,66,13,2,85
Supplier_18968,81,7,-1,86
Supplier_18969,82,0,2,49
Supplier_1897,66,13,4,94
Supplier_18970,74,2,8,79
Supplier_18971,75,9,16,100
Supplier_18972,69,7,8,52
Supplier_18973,65,7,10,47
Supplier_18974,62,19,25,89
Supplier_18975,68,11,4,88
Supplier_18976,84,4,11,86
Supplier_18977,68,11,11,69
Supplier_18978,91,13,4,39
Supplier_18979,83,7,7,68
Supplier_1898,92,9,-2,60
Supplier_18980,100,0,10,56
Supplier_18981,85,15,-1,69
Supplier_18982,80,6,9,36
Supplier_18983,77,4,4,100
Supplier_18984,71,3,8,96
Supplier_18985,80,9,15,39
Supplier_18986,90,8,16,76
Supplier_18987,99,12,25,79
Supplier_18988,81,12,10,93
Supplier_18989,68,15,22,57
Supplier_1899,88,5,11,80
Supplier_18990,71,7,27,76
Supplier_18991,89,7,20,52
Supplier_18992,72,11,17,65
Supplier_18993,100,8,0,99
Supplier_18994,69,13,14,92
Supplier_18995,89,2,14,74
Supplier_18996,95,0,23,100
Supplier_18997,85,0,4,46
Supplier_18998,84,4,15,69
Supplier_18999,88,17,8,60
Supplier_19,82,4,4,61
Supplier_190,71,0,22,74
Supplier_1900,96,1,11,77
Supplier_19000,96,9,10,100
Supplier_19001,65,9,17,63
Supplier_19002,90,14,3,82
Supplier_19003,87,15,20,83
Supplier_19004,62,8,21,62
Supplier_19005,85,13,12,81
Supplier_19006,78,5,7,100
Supplier_19007,65,13,1,66
Supplier_19008,86,7,3,66
Supplier_19009,89,5,3,60
Supplier_1901,86,15,0,82
Supplier_19010,78,2,7,82
Supplier_19011,63,13,9,100
Supplier_19012,62,15,7,87
Supplier_19013,64,4,15,48
Supplier_19014,59,10,25,96
Supplier_19015,57,17,18,73
Supplier_19016,89,12,9,96
Supplier_19017,68,8,0,85
Supplier_19018,81,12,3,50
Supplier_19019,83,5,13,82
Supplier_1902,79,7,15,66
Supplier_19020,100,2,13,89
Supplier_19021,79,12,-4,71
Supplier_19022,81,9,5,60
Supplier_19023,80,4,10,100
Supplier_19024,76,0,-2,79
Supplier_19025,76,4,14,30
Supplier_19026,96,14,13,52
Supplier_19027,99,13,25,71
Supplier_19028,80,15,13,75
Supplier_19029,64,9,24,51
Supplier_1903,86,5,18,91
Supplier_19030,78,2,22,81
Supplier_19031,93,11,24,39
Supplier_19032,75,10,8,48
Supplier_19033,95,12,3,99
Supplier_19034,64,5,12,91
Supplier_19035,92,0,17,64
Supplier_19036,96,0,35,94
Supplier_19037,88,0,3,57
Supplier_19038,85,7,7,78
Supplier_19039,87,15,12,54
Supplier_1904,75,0,8,84
Supplier_19040,100,10,9,99
Supplier_19041,69,1,15,69
Supplier_19042,86,18,6,87
Supplier_19043,85,13,14,72
Supplier_19044,64,9,20,70
Supplier_19045,77,14,2,90
Supplier_19046,71,7,7,95
Supplier_19047,65,12,-2,66
Supplier_19048,85,7,4,49
Supplier_19049,93,11,0,57
Supplier_1905,79,3,14,42
Supplier_19050,79,9,15,78
Supplier_19051,66,7,10,100
Supplier_19052,62,17,8,70
Supplier_19053,65,6,7,68
Supplier_19054,66,13,20,84
Supplier_19055,65,10,9,56
Supplier_19056,95,8,10,72
